Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Afrikaans,001,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Adangme,083,7,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,English,011,5673,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,German,017,4,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Telugu,119,35,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Gujarati,112,7,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Nepali,068,7,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Nuer,076,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Kannada ,113,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Bosnian,041,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,French,015,8,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Hmong,020,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Somali,069,101,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Cantonese,108,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,4,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Tigrinya,071,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Kalenjin,260,4,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Burmese,055,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Sundanese,163,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Tibetan,073,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Amharic,063,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Malayalam,115,7,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Croatian,127,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,134,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Latvian,029,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Korean,026,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Oriya,334,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Russian,040,145,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Cebuano,036,6,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Portuguese, creolized",342,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Hindi ,019,30,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Urdu,122,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Not Specific,052,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Polish,037,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,44,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Marathi,116,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,17,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Macedonian,089,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Dutch,033,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Bantu,101,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Konkani,114,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,90,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Ukrainian,049,6,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,"English, Creolized",057,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Portuguese,038,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Twi,161,16,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Thai,047,7,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Bengali,010,54,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,Spanish,045,780,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Twi,161,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,"English, Creolized",057,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Estonian,012,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,"Khmer, Cambodian ",005,6,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Afar,175,4,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,English,011,3825,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,"Lao, Laotian ",028,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Spanish,045,9,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Thai,047,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Czech,004,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Haitian Creole,085,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Gbii,240,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Nuer,076,5,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Arabic,002,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Russian,040,3,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Hungarian,021,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,Korean,026,1,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0721,01,NEW PRAGUE AREA SCHOOLS,"Chinese, Mandarin ",007,2,70,Scott                                        ,11,2,County Metro Area excluding MPLS/STP
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Norwegian,034,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Arabic,002,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Romanian,039,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,German,017,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Russian,040,31,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Korean,026,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Spanish,045,7,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,English,011,2710,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Finnish,014,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0726,01,BECKER PUBLIC SCHOOL DISTRICT,Bengali,010,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Hindi ,019,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,English,011,3183,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Finnish,014,3,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Hmong,020,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Vietnamese,051,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Russian,040,3,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Korean,026,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Lingala,067,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Amharic,063,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,French,015,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,7,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,"English, Creolized",057,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,Spanish,045,80,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Adangme,083,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Japanese,024,5,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Hindi ,019,8,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Spanish,045,155,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Turkish,048,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Not Specific,052,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Bulgarian,064,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Telugu,119,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Cantonese,108,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Portuguese,038,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Hausa,144,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Korean,026,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,10,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,English,011,11983,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"English, Creolized",057,28,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,3,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Somali,069,3,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Lithuanian,031,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Thai,047,6,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,37,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Finnish,014,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,French,015,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Hmong,020,41,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Bosnian,041,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Bengali,010,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Vietnamese,051,14,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Russian,040,151,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Cebuano,036,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Swedish,046,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Amharic,063,8,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Mandingo,302,1,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,8,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Ukrainian,049,17,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,German,017,3,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Arabic,002,2,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Tigrinya,071,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,Urdu,122,4,71,Sherburne                                    ,07W,3,Outstate - Enrollment 2000 or more
12-13,0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,English,011,997,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,English,011,664,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,Spanish,045,1,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,Georgian,082,1,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,French,015,1,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,Thai,047,1,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,Russian,040,1,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,Nuer,076,3,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,German,017,3,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,English,011,1031,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0740,01,MELROSE PUBLIC SCHOOL DISTRICT,Spanish,045,272,73,Stearns                                      ,07W,4,Outstate - Enrollment between 1000 and 1999
12-13,0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,Spanish,045,8,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,English,011,985,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,Russian,040,1,73,Stearns                                      ,07W,5,Outstate - Enrollment between 500 and 999
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Japanese,024,5,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,French,015,8,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,62,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,German,017,3,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Arabic,002,38,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,23,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Konkani,114,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Portuguese,038,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Thai,047,2,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Spanish,045,255,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Anuak,103,21,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Cebuano,036,6,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Mandingo,302,2,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Vietnamese,051,104,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Farsi ,013,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Danish,009,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Russian,040,4,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,16,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Lingala,067,2,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Herero,248,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Kalmyk-Oirat,261,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Sinhala,058,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Turkish,048,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Korean,026,7,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,"Sign Language, ASL",042,4,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Not Specific,052,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Mongolian,025,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Bosnian,041,2,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Nuer,076,57,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,53,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Albanian,072,1,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
12-13,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,Balinese,086,2,73,Stearns                                      ,07W,3,Outstate - Enrollment 2000 or more
